rank_key,headphone,brand,model,variant,type,driver_type,driver_size_mm,impedance_ohms,sensitivity_db_mw,frequency_response_hz,weight_g,cable_detachable,connector,origin,msrp_usd,release_year,notes,source_url
1am2,Sony MDR-1AM2 Premium Hi-Res Headphones,Sony,MDR-1AM2,Black,Closed Dynamic,Dynamic,39.9,16,98,"3-100,000 Hz",187,Detachable / Silver-coated OFC,Gold-plated L-shaped Stereo Mini,,,,"Features: Hi-Res Audio, premium, built-in microphone; Magnet: Neodymium; Diaphragm: Aluminum-Coated LCP; Wearing Style: Circumaural",https://electronics.sony.com/audio/headphones/all-headphones/p/mdr1am2-b
325x,Grado SR325x,Grado,SR325x,,Open Air,Dynamic,,38,98,18-24 kHz,,,,USA,,,Driver matched dB: 0.05; Cushions: F; Operating Principle: open air,https://gradolabs.com/products/sr325x
99 clasic,Beyerdynamic 99 Classics (1st Gen),Beyerdynamic,99 Classics,1st Gen,Closed Dynamic,Dynamic,40,32,103,15 Hz - 25 kHz,260,,Dual 3.5 mm TS Jack,Germany,,,Maximum Input Power: 50 mW; Rated Input Power: 30 mW; Total Harmonic Distortion: <0.1% at 1 kHz; Ear Cups: Walnut wood,https://www.xn--bester-kopfhrer-ktb.de/pages/99-classics
580i,Ultrasone PRO 580i,Ultrasone,PRO 580i,Silver,Closed Dynamic,Dynamic,50,32,101,"10-22,000 Hz",295,No,3.5mm gold-plated mini jack (includes 6.3mm adapter),,,,"S-Logic PLUS spatial imaging, ULE shielding, fixed 2.5m cable with 6.3mm adapter, extra velour pads, carry case",https://www.muzix.eu/Ultrasone/Headphones/On-ear/USO-580i/ULTRASONE-PRO-580I-Professional-custom-driver-Over-Ear-headphones-with-extended-bass-response-S-Logic-Plus-and-ULE-technologies
abyss diana mr carbon vegan,ABYSS Diana MR Carbon Weave (Vegan),ABYSS,Diana MR,Carbon Weave (Vegan),Open Planar Magnetic,Planar Magnetic,63,30,93,"5-55,000 Hz",379,Yes (detachable cable),3.5mm / 6.35mm / 4-pin XLR / 4.4mm / 2.5mm (JPS Labs cable),USA,2995,,"Carbon weave vegan finish, 10-year private warranty, includes custom cable & case",https://abyss-headphones.com/products/abyss-diana-mr
abyss1266150874,ABYSS AB1266 Phi TC,ABYSS,AB1266 Phi TC,,Open Planar Magnetic,Planar Magnetic,66,50,88,"5-30,000 Hz",640,Yes,"4-pin balanced XLR (includes 1/4\ adapter)""",USA,5995,2018,"Ceramic-coated aluminum chassis, 10-year warranty, includes balanced cable + carry case",https://eu.abyss-headphones.com/pages/abyss-ab-1266-phi-reference-headphone
abyssdianav2bk1,ABYSS Diana V2 BK1,ABYSS,Diana V2,BK1,Open Planar Magnetic,Planar Magnetic,63,42,91,"7-28,000 Hz",330,Yes (detachable cable),"3.5mm, 6.3mm, 4-pin XLR (JPS Labs cables)",USA,1999,,"Phi drivers, EMotion magnetic headband, leather pads, multiple blue finish, includes JPS Labs cables",https://www.headamp.com/products/abyss-diana-v2
akgk361 aboveflat,AKG K361 (AboveFlat),AKG,K361,AboveFlat,Closed Dynamic,Dynamic,50,32,114,15-28000 Hz,219,Yes,2.5 mm TRS,,,,"Includes detachable 3m/1.2m cables, 3.5mm-6.35mm adapter, protective pouch; pure OFC voice coil; foldable closed-back design for studio use.",https://kh.akg.com/K361-.html
ad1000x,Audio-Technica ATH-AD1000X,Audio-Technica,ATH-AD1000X,,Open-air dynamic,Dynamic,53,40,102,"5-40,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,599,,"CCAW voice coils, 3D Wing Support, aluminum honeycomb frame",https://sea.audio-technica.com/audiophile-open-air-dynamic-headphones
ad2000x,Audio-Technica ATH-AD2000X,Audio-Technica,ATH-AD2000X,,Open-air dynamic,Dynamic,53,40,103,"5-45,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,1299,,"Permendur magnets, CCAW voice coils, Double Air Damping System, 3D Wing Support",https://www.av.com/Headphones/Audio-Technica-ATH-AD2000X-Open-Back-Headphones/5U13
ad500x,Audio-Technica ATH-AD500X,Audio-Technica,ATH-AD500X,,Open-air dynamic,Dynamic,53,48,100,"5-25,000 Hz",235,No,3.5mm mini stereo (includes 6.3mm adapter),Japan,169,,"CCAW voice coils, honeycomb aluminum housing, 3D Wing Support",https://sea.audio-technica.com/audiophile-open-air-headphones
ad700x,Audio-Technica ATH-AD700X,Audio-Technica,ATH-AD700X,,Open-air dynamic,Dynamic,53,38,100,"5-30,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,,,"3D Wing Support, honeycomb aluminum housing, velvet pads, CCAW voice coils",https://sea.audio-technica.com/audiophile-open-air-headphones-ATH-AD700X
ad900x,Audio-Technica ATH-AD900X,Audio-Technica,ATH-AD900X,,Open-air dynamic,Dynamic,53,38,100,"5-35,000 Hz",265,No,3.5mm mini stereo (gold-plated) + 6.3mm adapter,Japan,,,"3D Wing Support, memory foam pads, honeycomb aluminum casing",https://sea.audio-technica.com/type/high-fidelity-open-back-headphones
